2020-04-04 19:52:04,099 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@31368b99: startup date [Sat Apr 04 19:52:04 CEST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-04-04 19:52:05,349 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/davidmeulenbeld/Downloads/apache-activemq-5.15.12/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-04-04 19:52:05,502 | INFO  | PListStore:[/Users/davidmeulenbeld/Downloads/apache-activemq-5.15.12/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-04-04 19:52:05,651 | INFO  | Apache ActiveMQ 5.15.12 (localhost, ID:Davids-MacBook-Pro.local-52117-1586022725514-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-04-04 19:52:05,688 | INFO  | Listening for connections at: tcp://Davids-MacBook-Pro.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-04-04 19:52:05,689 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-04-04 19:52:05,695 | INFO  | Listening for connections at: amqp://Davids-MacBook-Pro.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-04-04 19:52:05,696 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-04-04 19:52:05,701 | INFO  | Listening for connections at: stomp://Davids-MacBook-Pro.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-04-04 19:52:05,703 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-04-04 19:52:05,709 | INFO  | Listening for connections at: mqtt://Davids-MacBook-Pro.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-04-04 19:52:05,711 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2020-04-04 19:52:05,722 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2020-04-04 19:52:05,846 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
